"","Post","Entity","Position","Type","message"
"847","1628","Jacob Crane","149","Person","A new entrepreneurship training program for Indigenous students is coming to #UWaterloo, hosted by @UWStpauls, and lead by industrious entrepreneur Jacob Crane. 

Learn more: https://t.co/NOSRmdnfty https://t.co/jRldYxHiWg"
"848","163","Office of Equity","115","Organization","Ujima Black History Month 2022 at #UniversityWaterloo is a collaborative initiative by faculty and staff from the Office of Equity, Diversity, Inclusion and Anti-Racism (EDI-R), the departments of English and History, and the Dean of Arts Office.

?? https://t.co/W16JrKV0Qx https://t.co/6Bx1MMpSQY"
"849","163","2022","27","Date","Ujima Black History Month 2022 at #UniversityWaterloo is a collaborative initiative by faculty and staff from the Office of Equity, Diversity, Inclusion and Anti-Racism (EDI-R), the departments of English and History, and the Dean of Arts Office.

?? https://t.co/W16JrKV0Qx https://t.co/6Bx1MMpSQY"
"850","1630","Chancellor","175","Person","""Black history shows how strength of character and a collective capacity for protracted struggle can become the greatest force for change."" 

Read more from @MichaelleJeanF, Chancellor @UWStpauls, on how Black history is shared history: https://t.co/sI9qfgoviz #UWaterloo https://t.co/U4W80RVrJS"
"851","1631","today","118","Date","RT @WlooWarriors : Apart but together in the fight against Breast Cancer!

Our staff showing off their pink wardrobe today for a quick team photo! #WarriorsCare ??

Donate to the cause ?? https://t.co/TvrQ8xbSHA 

@UWaterloo @USPORTSca @cancersociety https://t.co/8DLnuGLpyR"
"852","1632","Eric Migicovsky","23","Person","RT @uwaterlooalumni : Eric Migicovsky (BASc '09) has launched @onbeeper, a universal chat app that connects with 15 messaging services, such as WhatsApp, Skype &amp; Messenger. Now, Android users can even use iMessage! 

Learn more at: https://t.co/d6GIEjbbPH
#UWaterlooAlumni @WaterlooENG @ericmigi https://t.co/k1NOXll0GP"
"853","1633","University of Illinois Chicago","144","Organization","How can restoring wetlands near farms dramatically reduce water pollution? Learn more about detailed data and research from #UWaterloo and the University of Illinois Chicago (UIC): https://t.co/CxagfC5OY1

#WorldWetlandsDay #climateaction https://t.co/dCU9V0FTG5"
"854","1634","ENV","170","Organization","RT @envwaterloo : It’s International Networking Week, the perfect time to join ENV’s own online networking platform ENVConnect. Join ENVConnect today, where hundreds of ENV students are waiting to connect at 
https://t.co/H4tenNspom 

#RBCFutureLaunch @RBC @10kcoffees https://t.co/SoXhcoED7d"
"855","1634","today","145","Date","RT @envwaterloo : It’s International Networking Week, the perfect time to join ENV’s own online networking platform ENVConnect. Join ENVConnect today, where hundreds of ENV students are waiting to connect at 
https://t.co/H4tenNspom 

#RBCFutureLaunch @RBC @10kcoffees https://t.co/SoXhcoED7d"
"856","1635","Job","172","Organization","Today is the day, #UWaterloo! If you are looking to make meaningful connections with employers and learn more about potential job opportunities, check out the P4E Virtual Job Fair today: https://t.co/XFYUoKPDMA @HireWaterloo https://t.co/HldgLwYA3o"
"857","1635","Today","1","Date","Today is the day, #UWaterloo! If you are looking to make meaningful connections with employers and learn more about potential job opportunities, check out the P4E Virtual Job Fair today: https://t.co/XFYUoKPDMA @HireWaterloo https://t.co/HldgLwYA3o"
"858","1635","today","181","Date","Today is the day, #UWaterloo! If you are looking to make meaningful connections with employers and learn more about potential job opportunities, check out the P4E Virtual Job Fair today: https://t.co/XFYUoKPDMA @HireWaterloo https://t.co/HldgLwYA3o"
"859","1636","Rebecca Rooney","199","Person","RT @WaterlooSci : Today is #WorldWetlandsDay!

Will we be seeing you at either the research talks with @UW_Ecohydrology this afternoon, or the public lecture and panel discussion tonight with Prof. Rebecca Rooney (@girls_can)?

There is still time to register: https://t.co/VEk1jrUQre https://t.co/Cvm6Frj5PC"
"860","1636","Today","19","Date","RT @WaterlooSci : Today is #WorldWetlandsDay!

Will we be seeing you at either the research talks with @UW_Ecohydrology this afternoon, or the public lecture and panel discussion tonight with Prof. Rebecca Rooney (@girls_can)?

There is still time to register: https://t.co/VEk1jrUQre https://t.co/Cvm6Frj5PC"
"861","1637","BA","98","Organization","RT @UWaterlooPres : Great story to kick-off the week profiling how @UWaterloo alumnus @iaboyeji (BA ’12) is providing African innovators with a community of coaches, capital and more to help them succeed, as co-founder of his venture @anafricanfuture. https://t.co/GKT4wTQPwe https://t.co/dTXUSWoCbq"
"862","164","2022","109","Date","Velocity companies and others with #UWaterloo connections make up one third of the FoundersBeta top 100 for 2022. FoundersBeta is a global network of more than 5,000 founders, students and professionals interested in building startups.

Read this story: https://t.co/lEcZeFypI0 https://t.co/8IhdEMbQfe"
"863","164","5,000","161","Date","Velocity companies and others with #UWaterloo connections make up one third of the FoundersBeta top 100 for 2022. FoundersBeta is a global network of more than 5,000 founders, students and professionals interested in building startups.

Read this story: https://t.co/lEcZeFypI0 https://t.co/8IhdEMbQfe"
"864","1643","this week","66","Date","RT @UW_Wellness : There are so many ways to learn about wellness this week. For more information, go to https://t.co/S0BE5M7v1p https://t.co/QdcKUYi1ow"
"865","1643","://t.co/S0BE5M7v1p","110","Date","RT @UW_Wellness : There are so many ways to learn about wellness this week. For more information, go to https://t.co/S0BE5M7v1p https://t.co/QdcKUYi1ow"
"866","1644","today","174","Date","RT @envwaterloo : It’s International Networking Week – the perfect opportunity to connect with our ENV students and share your career advice and experience. Join ENVConnect today at https://t.co/H4tenNspom #RBCFutureLaunch @RBC @10kcoffees https://t.co/2d8VzRCpUf"
"867","1645","BA","13","Organization",".@iaboyeji (BA ’12) is a serial entrepreneur who doesn’t consider his ventures a success unless they improve society. Learn more about the co-founder of @anafricanfuture?, dedicated to providing African innovators with a community of coaches and more: https://t.co/bVXqFGQTBZ https://t.co/oYYjqmbBRr"
"868","1646","John Hirdes","216","Person","“Even though in-person visits with family decreased from 73 per cent to 18 per cent during lockdown, the percentage of residents who experienced depression, delirium and behavioural problems did not increase,” said John Hirdes,  professor @UWSPHHS. 

Read more below ?? https://t.co/kDmJDO2tbo"
"869","1647","Today","20","Date","RT @WlooWarriors : Today marks the start of our Think Pink (Shoot for the Cure) Campaign!

Over the past 12 years we have raised over $245K for the cause! Let's keep the momentum going Warriors!

@UWaterloo @USPORTSca @cancersociety 

#ShootfortheCure #WarriorsCare ??

https://t.co/eYFOmdYUla"
"870","1647","$","135","Money","RT @WlooWarriors : Today marks the start of our Think Pink (Shoot for the Cure) Campaign!

Over the past 12 years we have raised over $245K for the cause! Let's keep the momentum going Warriors!

@UWaterloo @USPORTSca @cancersociety 

#ShootfortheCure #WarriorsCare ??

https://t.co/eYFOmdYUla"
"871","1648","Health","121","Organization","RT @ROWPublicHealth : Remember, misinformation is out there. Get facts about COVID-19 from trustworthy sources:
?@GovCanHealth
?@ONThealth 
?@ROWPublicHealth (Psst that's us!) 
For local information visit https://t.co/Ge2WXTBY7H https://t.co/YxPeKtCgqj"
"872","165","Tiger","101","Organization","X?n nián kuài lè! Gong hei fat choy!

Today marks the beginning of the new year and the Year of the Tiger on the traditional Chinese lunar calendar. Wishing all those who celebrate a Happy New Year!

#LunarNewYear #SpringFestival https://t.co/TFvdO4tikf"
"873","165","Today","39","Date","X?n nián kuài lè! Gong hei fat choy!

Today marks the beginning of the new year and the Year of the Tiger on the traditional Chinese lunar calendar. Wishing all those who celebrate a Happy New Year!

#LunarNewYear #SpringFestival https://t.co/TFvdO4tikf"
"874","165","New Year","190","Date","X?n nián kuài lè! Gong hei fat choy!

Today marks the beginning of the new year and the Year of the Tiger on the traditional Chinese lunar calendar. Wishing all those who celebrate a Happy New Year!

#LunarNewYear #SpringFestival https://t.co/TFvdO4tikf"
"875","1659","://t.co/h29SjPiU51","300","Date","RT @UWaterlooNews : Single-use, medical-grade gloves could be safely reused up to 20 times when using certain disinfection methods – a welcome piece of news for frontline #healthcare workers facing #PPE shortages during the #COVID19 pandemic.

Read more: https://t.co/pWsERp9gBE #UWaterlooNews https://t.co/h29SjPiU51"
"876","166","Geoffrey Fong","17","Person","Meet professors Geoffrey Fong, Mary Thompson and David Hammond. Their aim is to develop a deep understanding of global smoking habits and trends that would support and defend effective tobacco control policies. 

Read their story: https://t.co/RJM1FEWUzv https://t.co/XOMyW4sNDP"
"877","166","Mary Thompson","32","Person","Meet professors Geoffrey Fong, Mary Thompson and David Hammond. Their aim is to develop a deep understanding of global smoking habits and trends that would support and defend effective tobacco control policies. 

Read their story: https://t.co/RJM1FEWUzv https://t.co/XOMyW4sNDP"
"878","166","David Hammond","50","Person","Meet professors Geoffrey Fong, Mary Thompson and David Hammond. Their aim is to develop a deep understanding of global smoking habits and trends that would support and defend effective tobacco control policies. 

Read their story: https://t.co/RJM1FEWUzv https://t.co/XOMyW4sNDP"
"879","1665","February","238","Date","RT @UWaterlooLife : Want to learn something new, laugh with someone new and create new memories? Sign up for Pen-Demic Pals and virtually meet another student from outside your faculty. Any UWaterloo student, can join! 

Register before February 7.

?? ?? https://t.co/PkdAJTY1qX
@UWaterloo https://t.co/bTZA2OF0cX"
"880","1668","Friday","7","Date","#HappyFriday, Warriors! You made it through the week. To celebrate, here is a picture of a dog in a #UWaterloo hoodie. ????

??: @Bobbyhuggs https://t.co/tppZSXvIGn"
"881","1669","Harrison Oakes","1","Person","Harrison Oakes (MA ’16, PhD ’20) found his purpose in a social psychology course that gave him language to understand his experiences of mental illness, attempted suicide and the bullying he endured for being gay. 

Read more: https://t.co/H12LHKGXwT #UWaterloo #BellLetsTalk https://t.co/Zjbb6Ii2i8"
"882","1670","Sarah Cheng","1","Person","Sarah Cheng (BAFM ’08, MAcc ’09) stepped into the Dragons’ Den with her five-year-old daughter while eight months pregnant. The #UWaterloo alumnus pitched her small business, Bluish, and ended up striking a deal from Canadian investor @ArleneDickinson: https://t.co/V8OTrQ5A29 https://t.co/JW3NvUjm2k"
"883","1670","://t.co/V8OTrQ5A29","259","Date","Sarah Cheng (BAFM ’08, MAcc ’09) stepped into the Dragons’ Den with her five-year-old daughter while eight months pregnant. The #UWaterloo alumnus pitched her small business, Bluish, and ended up striking a deal from Canadian investor @ArleneDickinson: https://t.co/V8OTrQ5A29 https://t.co/JW3NvUjm2k"
"884","1673","past year","113","Date","RT @WaterlooSci : Every four months. That’s how often Divya went home to Qatar to visit her family. But for the past year, as international travel became impossible, Divya has had to rely on her Waterloo community, and counselling services to support her mental health.

https://t.co/NvrgszUxZR"
"885","1674","today","39","Date","RT @UWaterlooCCCARE : #BellLetsTalk , today, tomorrow, and every day. Your voice deserves to be heard. https://t.co/45MxrQXaBI https://t.co/6avglwmgYW"
"886","1674","tomorrow","46","Date","RT @UWaterlooCCCARE : #BellLetsTalk , today, tomorrow, and every day. Your voice deserves to be heard. https://t.co/45MxrQXaBI https://t.co/6avglwmgYW"
"887","1675","today","27","Date","RT @UWaterlooPres : While today is #BellLetsTalk Day, it's important to remember that every day is a good time to discuss mental health and wellness.

https://t.co/nXUgzQs61e https://t.co/1pLFKij5ko"
"888","1677","Today","19","Date","RT @UW_Wellness : Today is #BellLetsTalk Day and we're here to tell you that everyone needs support from time-to-time, especially these days. We want you to know that you are not alone and there are so many people ready and waiting to talk with you everyday:  https://t.co/o09MCY4sP8
#uwaterloo https://t.co/QPMzuJTkpf"
"889","1677","://t.co/o09MCY4sP8","266","Date","RT @UW_Wellness : Today is #BellLetsTalk Day and we're here to tell you that everyone needs support from time-to-time, especially these days. We want you to know that you are not alone and there are so many people ready and waiting to talk with you everyday:  https://t.co/o09MCY4sP8
#uwaterloo https://t.co/QPMzuJTkpf"
"890","168","Islamic Cultural Centre","130","Organization","RT @UWaterlooPres : (1/2) Five years ago, six people were murdered and 19 others seriously injured during evening prayers at the Islamic Cultural Centre of Quebec City. #Islamophobia continues to be a reality faced by Muslim communities everywhere."
"891","168","Five years ago","27","Date","RT @UWaterlooPres : (1/2) Five years ago, six people were murdered and 19 others seriously injured during evening prayers at the Islamic Cultural Centre of Quebec City. #Islamophobia continues to be a reality faced by Muslim communities everywhere."
"892","168","Quebec City","157","Location","RT @UWaterlooPres : (1/2) Five years ago, six people were murdered and 19 others seriously injured during evening prayers at the Islamic Cultural Centre of Quebec City. #Islamophobia continues to be a reality faced by Muslim communities everywhere."
"893","1685","Today","81","Date","Conversations on #mentalhealth will always be crucial at #UWaterloo and beyond. Today, on #BellLetsTalk Day, let's keep the conversation going, Warriors! You are not alone.

Whether sending a message, sharing a smile, or reaching out for support – every action counts. ???? https://t.co/1EQ7sIUm0d"
"894","1686","Bell","118","Organization","RT @Bell_LetsTalk : Today, every view of this video helps create positive change. All you need to do is watch it and Bell will donate 5¢ more to Canadian mental health initiatives. Retweet to help spread the word! #BellLetsTalk https://t.co/hK1p4cJAYM"
"895","1686","Today","21","Date","RT @Bell_LetsTalk : Today, every view of this video helps create positive change. All you need to do is watch it and Bell will donate 5¢ more to Canadian mental health initiatives. Retweet to help spread the word! #BellLetsTalk https://t.co/hK1p4cJAYM"
"896","1689","Read","210","Organization","RT @uwaterlooalumni : We're #UWaterlooProud of @uwaterlooARTS @cblackst (LLD '16) @WaterlooENG Chamath Palihapitiya (BASc '99) and @WaterlooSci Dr. Donna Strickland who were on the 2021 @macleans' Power List! Read more about their impact at: https://t.co/n73kuchbI7 #UWaterlooAlumni #UWaterloo"
"897","1689","Chamath Palihapitiya","96","Person","RT @uwaterlooalumni : We're #UWaterlooProud of @uwaterlooARTS @cblackst (LLD '16) @WaterlooENG Chamath Palihapitiya (BASc '99) and @WaterlooSci Dr. Donna Strickland who were on the 2021 @macleans' Power List! Read more about their impact at: https://t.co/n73kuchbI7 #UWaterlooAlumni #UWaterloo"
"898","1689","2021","182","Date","RT @uwaterlooalumni : We're #UWaterlooProud of @uwaterlooARTS @cblackst (LLD '16) @WaterlooENG Chamath Palihapitiya (BASc '99) and @WaterlooSci Dr. Donna Strickland who were on the 2021 @macleans' Power List! Read more about their impact at: https://t.co/n73kuchbI7 #UWaterlooAlumni #UWaterloo"
"899","169","Karen Hock","163","Person","RT @UWaterlooSPHS : It’s not too late to register for the #GRADflix 2022 Showcase! Join @UWaterlooGSPA at 3 p.m. on January 31 to watch #UWaterlooSPHS finalists, Karen Hock, Lauren Gosse, and Saeideh Davari Dowlatabadi. Don’t miss a chance to cast your vote and win prizes! https://t.co/h4a2Z7mxbW https://t.co/BJxVMzRB3e https://t.co/6DweUhp56c"
"900","169","Lauren Gosse","175","Person","RT @UWaterlooSPHS : It’s not too late to register for the #GRADflix 2022 Showcase! Join @UWaterlooGSPA at 3 p.m. on January 31 to watch #UWaterlooSPHS finalists, Karen Hock, Lauren Gosse, and Saeideh Davari Dowlatabadi. Don’t miss a chance to cast your vote and win prizes! https://t.co/h4a2Z7mxbW https://t.co/BJxVMzRB3e https://t.co/6DweUhp56c"
"901","169","January 31","117","Date","RT @UWaterlooSPHS : It’s not too late to register for the #GRADflix 2022 Showcase! Join @UWaterlooGSPA at 3 p.m. on January 31 to watch #UWaterlooSPHS finalists, Karen Hock, Lauren Gosse, and Saeideh Davari Dowlatabadi. Don’t miss a chance to cast your vote and win prizes! https://t.co/h4a2Z7mxbW https://t.co/BJxVMzRB3e https://t.co/6DweUhp56c"
"902","1690","Friday","22","Date","Don't miss out! This Friday, Jan 29, is our #UWaterloo GRADflix showcase. Join @UWaterlooGSPA and our #UWaterlooCommunity and register here: https://t.co/e6DhdmEKUI https://t.co/TpPFbCNQAQ"
"903","1690","Jan 29","30","Date","Don't miss out! This Friday, Jan 29, is our #UWaterloo GRADflix showcase. Join @UWaterlooGSPA and our #UWaterlooCommunity and register here: https://t.co/e6DhdmEKUI https://t.co/TpPFbCNQAQ"
"904","1691","Job Fair","166","Organization","Looking to make industry connections, but not sure where to start? Do you want to connect with employers and find the best full-time job? Register for P4E's Virtual Job Fair, happening on Feb 2nd! 

Learn more: https://t.co/XFYUoKPDMA #UWaterloo @HireWaterloo https://t.co/bml4MJXGc3"
"905","1691","Virtual Job Fair","158","Person","Looking to make industry connections, but not sure where to start? Do you want to connect with employers and find the best full-time job? Register for P4E's Virtual Job Fair, happening on Feb 2nd! 

Learn more: https://t.co/XFYUoKPDMA #UWaterloo @HireWaterloo https://t.co/bml4MJXGc3"
"906","1691","Feb","189","Date","Looking to make industry connections, but not sure where to start? Do you want to connect with employers and find the best full-time job? Register for P4E's Virtual Job Fair, happening on Feb 2nd! 

Learn more: https://t.co/XFYUoKPDMA #UWaterloo @HireWaterloo https://t.co/bml4MJXGc3"
"907","1692","this year","72","Date","RT @WlooWarriors : The Shoot for the Cure will look a little different this year but the goal remains the same; raise money and awareness for the @cancersociety! 

Visit https://t.co/4ChM1G02EQ for all of our Think Pink initiatives this year! #WarriorsCare?? 

@USPORTSca @kenzieobermayer https://t.co/o9BphXm2We"
"908","1692","://t.co/4ChM1G02EQ","176","Date","RT @WlooWarriors : The Shoot for the Cure will look a little different this year but the goal remains the same; raise money and awareness for the @cancersociety! 

Visit https://t.co/4ChM1G02EQ for all of our Think Pink initiatives this year! #WarriorsCare?? 

@USPORTSca @kenzieobermayer https://t.co/o9BphXm2We"
"909","1692","this year","233","Date","RT @WlooWarriors : The Shoot for the Cure will look a little different this year but the goal remains the same; raise money and awareness for the @cancersociety! 

Visit https://t.co/4ChM1G02EQ for all of our Think Pink initiatives this year! #WarriorsCare?? 

@USPORTSca @kenzieobermayer https://t.co/o9BphXm2We"
"910","1693","Anita Layton","33","Person","RT @uwdailybulletin : Professor Anita Layton in @WaterlooMath has been named the 2021 Krieger-Nelson Prize recipient for her exceptional contributions to mathematical research, with applications ranging from fluid dynamics to biology and medicine. 

Read more: https://t.co/byt5XyrNuz https://t.co/qlX7lAkq6e"
"911","1693","2021","82","Date","RT @uwdailybulletin : Professor Anita Layton in @WaterlooMath has been named the 2021 Krieger-Nelson Prize recipient for her exceptional contributions to mathematical research, with applications ranging from fluid dynamics to biology and medicine. 

Read more: https://t.co/byt5XyrNuz https://t.co/qlX7lAkq6e"
"912","1694","Earth Leadership Program","122","Organization","Congratulations to #UWaterloo professor @nanditabasu2 for being selected as one of 25 fellows from North America for the Earth Leadership Program with @EarthLeadership! 

#UWaterlooProud @WaterlooSci ???? https://t.co/qn3y2WkC7H"
"913","1694","North America","100","Location","Congratulations to #UWaterloo professor @nanditabasu2 for being selected as one of 25 fellows from North America for the Earth Leadership Program with @EarthLeadership! 

#UWaterlooProud @WaterlooSci ???? https://t.co/qn3y2WkC7H"
"914","1694","Earth","122","Location","Congratulations to #UWaterloo professor @nanditabasu2 for being selected as one of 25 fellows from North America for the Earth Leadership Program with @EarthLeadership! 

#UWaterlooProud @WaterlooSci ???? https://t.co/qn3y2WkC7H"
"915","1695","Read","152","Organization","RT @uwaterlooalumni : ""COVID-19 is showing everyone the huge necessity of safeguarding the public health-care system because we are all so connected."" Read how Ian Cromwell (BSc ’07) found his path: https://t.co/RN5aALwpZj

#UWaterlooAlumni #UWaterloo #UWaterlooMagazine @CADTH_ACMTS https://t.co/OmLUzrNbJ3"
"916","1695","Ian Cromwell","161","Person","RT @uwaterlooalumni : ""COVID-19 is showing everyone the huge necessity of safeguarding the public health-care system because we are all so connected."" Read how Ian Cromwell (BSc ’07) found his path: https://t.co/RN5aALwpZj

#UWaterlooAlumni #UWaterloo #UWaterlooMagazine @CADTH_ACMTS https://t.co/OmLUzrNbJ3"
"917","1698","Today","21","Date","RT @UWaterlooPres : Today we celebrated the life of Pearl Sullivan, a world-class engineer, educator, visionary and truly amazing member of the @UWaterloo community whom I will miss dearly. Thank you to everyone who took the time to pay tribute to her today.

https://t.co/3cvyB4jqB5 https://t.co/DiOBb1pNLU"
"918","1698","today","253","Date","RT @UWaterlooPres : Today we celebrated the life of Pearl Sullivan, a world-class engineer, educator, visionary and truly amazing member of the @UWaterloo community whom I will miss dearly. Thank you to everyone who took the time to pay tribute to her today.

https://t.co/3cvyB4jqB5 https://t.co/DiOBb1pNLU"
"919","1698","Pearl Sullivan","53","Location","RT @UWaterlooPres : Today we celebrated the life of Pearl Sullivan, a world-class engineer, educator, visionary and truly amazing member of the @UWaterloo community whom I will miss dearly. Thank you to everyone who took the time to pay tribute to her today.

https://t.co/3cvyB4jqB5 https://t.co/DiOBb1pNLU"
"920","1698","U","307","Location","RT @UWaterlooPres : Today we celebrated the life of Pearl Sullivan, a world-class engineer, educator, visionary and truly amazing member of the @UWaterloo community whom I will miss dearly. Thank you to everyone who took the time to pay tribute to her today.

https://t.co/3cvyB4jqB5 https://t.co/DiOBb1pNLU"
"921","1699","RVSP","259","Organization","RT @uwaterlooalumni : .@UWaterloo's Rae Samuels &amp; @JoinTerminal presents 'Women Who Lead'. Hear from Canada's Minister of Diversity and Inclusion &amp; Youth @BardishKW (BSc '04), @Axonify's SVP Product, Andrea Curry &amp; @2048vc's @naykhera (BASc '06)
RVSP https://t.co/dfJVL6jzyf #UWaterlooAlumni #UWaterloo https://t.co/DPcTjN2B1B"
"922","1699","Andrea Curry","209","Person","RT @uwaterlooalumni : .@UWaterloo's Rae Samuels &amp; @JoinTerminal presents 'Women Who Lead'. Hear from Canada's Minister of Diversity and Inclusion &amp; Youth @BardishKW (BSc '04), @Axonify's SVP Product, Andrea Curry &amp; @2048vc's @naykhera (BASc '06)
RVSP https://t.co/dfJVL6jzyf #UWaterlooAlumni #UWaterloo https://t.co/DPcTjN2B1B"
"923","1699","@2048vc","228","Date","RT @uwaterlooalumni : .@UWaterloo's Rae Samuels &amp; @JoinTerminal presents 'Women Who Lead'. Hear from Canada's Minister of Diversity and Inclusion &amp; Youth @BardishKW (BSc '04), @Axonify's SVP Product, Andrea Curry &amp; @2048vc's @naykhera (BASc '06)
RVSP https://t.co/dfJVL6jzyf #UWaterlooAlumni #UWaterloo https://t.co/DPcTjN2B1B"
"924","1699","Canada","106","Location","RT @uwaterlooalumni : .@UWaterloo's Rae Samuels &amp; @JoinTerminal presents 'Women Who Lead'. Hear from Canada's Minister of Diversity and Inclusion &amp; Youth @BardishKW (BSc '04), @Axonify's SVP Product, Andrea Curry &amp; @2048vc's @naykhera (BASc '06)
RVSP https://t.co/dfJVL6jzyf #UWaterlooAlumni #UWaterloo https://t.co/DPcTjN2B1B"
"925","1701","Siv Sivaloganathan","69","Person","“Math and medicine are like the two solitudes,” reflected Professor Siv Sivaloganathan, chair @WaterlooMath. “They represent two separate cultures and ways of thinking.” Combined, the results are nothing more than astonishing. Read more on Siv's journey: https://t.co/OTT4WN8FWt https://t.co/H0Whyy1ax0"
"926","1702","May 2021-April 2022","62","Date","RT @yourWUSA : Who will represent #uWaterloo Undergrads from May 2021-April 2022? It's WUSA Election time! Find out more here &gt;&gt; https://t.co/8vN3MEU0oG | Don't forget to VOTE Feb. 2, 3 &amp; 4! #yourWUSA https://t.co/MzSOyelCli"
"927","1703","UW Engineering","123","Organization","RT @berryonline : I was pleased to virtually join 450+ people within the @UWaterloo family today to celebrate the life of UW Engineering's first female Dean, Pearl Sullivan. A wonderful tribute to an amazing woman who achieved so much. Our @CityKitchener community will always cherish your support! https://t.co/fqgV2aw0Vz"
"928","1703","Dean","153","Person","RT @berryonline : I was pleased to virtually join 450+ people within the @UWaterloo family today to celebrate the life of UW Engineering's first female Dean, Pearl Sullivan. A wonderful tribute to an amazing woman who achieved so much. Our @CityKitchener community will always cherish your support! https://t.co/fqgV2aw0Vz"
"929","1703","Pearl Sullivan","159","Person","RT @berryonline : I was pleased to virtually join 450+ people within the @UWaterloo family today to celebrate the life of UW Engineering's first female Dean, Pearl Sullivan. A wonderful tribute to an amazing woman who achieved so much. Our @CityKitchener community will always cherish your support! https://t.co/fqgV2aw0Vz"
"930","1703","today","92","Date","RT @berryonline : I was pleased to virtually join 450+ people within the @UWaterloo family today to celebrate the life of UW Engineering's first female Dean, Pearl Sullivan. A wonderful tribute to an amazing woman who achieved so much. Our @CityKitchener community will always cherish your support! https://t.co/fqgV2aw0Vz"
"931","1704","Celebration","174","Organization","As a champion for @WaterlooENG and beyond, Pearl Sullivan made an incredible impact on the community. 

#UWaterloo students, faculty and staff are invited to join a virtual Celebration of Life as we reflect on and celebrate the life of Pearl Sullivan: https://t.co/sboqKBZWxC"
"932","1704","Pearl Sullivan","44","Person","As a champion for @WaterlooENG and beyond, Pearl Sullivan made an incredible impact on the community. 

#UWaterloo students, faculty and staff are invited to join a virtual Celebration of Life as we reflect on and celebrate the life of Pearl Sullivan: https://t.co/sboqKBZWxC"
"933","1704","Pearl","44","Location","As a champion for @WaterlooENG and beyond, Pearl Sullivan made an incredible impact on the community. 

#UWaterloo students, faculty and staff are invited to join a virtual Celebration of Life as we reflect on and celebrate the life of Pearl Sullivan: https://t.co/sboqKBZWxC"
"934","1704","Pearl Sullivan","237","Location","As a champion for @WaterlooENG and beyond, Pearl Sullivan made an incredible impact on the community. 

#UWaterloo students, faculty and staff are invited to join a virtual Celebration of Life as we reflect on and celebrate the life of Pearl Sullivan: https://t.co/sboqKBZWxC"
"935","1707","CTV","115","Organization","RT @climatechangeUW : Learn more about our new #climatechange simulation game ""Illuminate"" in this great story by CTV's @TeganVersolatto: ""Virtual game by @UWaterloo to highlight climate crisis to students""  https://t.co/ckvS2Xj73v"
"936","171","://t.co/Sx6L82VA9f","190","Date","With a contribution of $1.04 million, @scotiabank is creating a variety of scholarships for students @UWaterloo who are underrepresented in #STEM fields. More: https://t.co/0eG0SBodsb https://t.co/Sx6L82VA9f"
"937","171","$1.04 million","24","Money","With a contribution of $1.04 million, @scotiabank is creating a variety of scholarships for students @UWaterloo who are underrepresented in #STEM fields. More: https://t.co/0eG0SBodsb https://t.co/Sx6L82VA9f"
"938","1710","Bell Let","20","Organization","RT @WlooWarriors : Bell Let's Talk Day is 2 days away but it's never too early to start the conversation, and continue it all year long.

Now more than ever, every action counts Warriors!

See what you can do to help shape positive mental health!

#BellLetsTalk @UWaterloo 

https://t.co/AhZC301blb"
"939","1712","today","26","Date","The thread we all needed today. ?? 

#Monday #UWaterloo https://t.co/DO6GWuLd6n"
"940","1712","Monday","39","Date","The thread we all needed today. ?? 

#Monday #UWaterloo https://t.co/DO6GWuLd6n"
"941","1714","Environmental Sciences","71","Organization","As a geomicrobiologist, @jen_mccutcheon, a professor in the Earth and Environmental Sciences department @UWaterloo, has been studying Greenland’s glacier algae in an effort to uncover their changing annual patterns. 

Read more: https://t.co/4QRAhgqGA2 #UWaterloo @WaterlooSci https://t.co/FX6ESx1qpV"
"942","1714","Earth","61","Location","As a geomicrobiologist, @jen_mccutcheon, a professor in the Earth and Environmental Sciences department @UWaterloo, has been studying Greenland’s glacier algae in an effort to uncover their changing annual patterns. 

Read more: https://t.co/4QRAhgqGA2 #UWaterloo @WaterlooSci https://t.co/FX6ESx1qpV"
"943","1715","Feb","284","Organization","RT @ConceptUW : Hey, #UWaterloo! What would you do with $5,000 ?? to help move your #business idea forward? Applications for the Winter 2021 #Concept5K Grant are now open!??Visit https://t.co/e46rwg6S7g to learn more about the #pitchcompetition and submit your online application by Feb 21! https://t.co/myAxNH1HtE"
"944","1715","2021","137","Date","RT @ConceptUW : Hey, #UWaterloo! What would you do with $5,000 ?? to help move your #business idea forward? Applications for the Winter 2021 #Concept5K Grant are now open!??Visit https://t.co/e46rwg6S7g to learn more about the #pitchcompetition and submit your online application by Feb 21! https://t.co/myAxNH1HtE"
"945","1715","://t.co/e46rwg6S7g","185","Date","RT @ConceptUW : Hey, #UWaterloo! What would you do with $5,000 ?? to help move your #business idea forward? Applications for the Winter 2021 #Concept5K Grant are now open!??Visit https://t.co/e46rwg6S7g to learn more about the #pitchcompetition and submit your online application by Feb 21! https://t.co/myAxNH1HtE"
"946","1715","Feb 21","284","Date","RT @ConceptUW : Hey, #UWaterloo! What would you do with $5,000 ?? to help move your #business idea forward? Applications for the Winter 2021 #Concept5K Grant are now open!??Visit https://t.co/e46rwg6S7g to learn more about the #pitchcompetition and submit your online application by Feb 21! https://t.co/myAxNH1HtE"
